Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Sri Lanka,LKA,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,2487460000,3074555000,3972911000,2487430701.04222,3431874568.90802,3648347052.4206,3992760010.91397,4191092217.74383,4352662706.89619,4532660000,4548020000,2145960017.50855,832116000,896865147.427885,2004354127.78
Sri Lanka,LKA,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11
Sri Lanka,LKA,Completeness of birth registration (%),SP.REG.BRTH.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sri Lanka,LKA,Consumer price index (2010 = 100),FP.CPI.TOTL,94.1463128229218,100,106.716768435885,114.766322217003,122.694896603917,126.595370167296,131.365949371736,136.566580789574,147.08785819643,150.228239475663,155.528883036152,165.100045087827,176.681451206782,264.529415973267,308.285687553672
Sri Lanka,LKA,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1423028851.3,1408351248.3,1314986414.1,2125912485.2,2142071308.4,6457485244.3,3550905722.1,3323206378.4,4211374552.5,7395694263.4,6240614869.6,5048585888,4749937434.5,3334650482.8,2825291973.1
Sri Lanka,LKA,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sri Lanka,LKA,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,43.5587197109545,43.0877052721959,48.8401844735113,47.3120230504901,45.8741702744579,50.268492453942,..,..,..,..,..,..,..,..,..
Sri Lanka,LKA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,18.19491,16.42822,17.75958,18.72904,21.12484,20.16606,19.38278,12.12355,12.96432,20.74192,..,..,..,..,..
Sri Lanka,LKA,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,48.18927,53.22425,51.45251,50.77935,49.08597,47.10653,47.111,50.4102,51.1788,45.74178,..,..,..,..,..
Sri Lanka,LKA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,28.30164,25.0467,24.21295,23.89616,22.99159,28.6699,28.30497,34.89671,33.3783,29.85557,..,..,..,..,..
Sri Lanka,LKA,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-6.49240904325756,..,..,..,..,..,-7.13120316799751,-6.82346493984665,-6.6920097283484,-6.9168995227708,-5.7784600655288,-6.1738356030779,-7.3871373794262,-3.56339544128857,-1.6371200727753
Sri Lanka,LKA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.224,2.196,2.206,2.196,2.181,2.13,2.091,2.068,2.053,2.031,2.019,2,1.99,1.974,..
Sri Lanka,LKA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,404000000,477559000,955920000,941116591.230408,932551317.582881,893628980.287065,679655644.244789,897049375.883533,1372723043.13402,1614044009.22884,743466231.468031,434075668.46642,592289969.90297,884150491.430208,711826200.490003
Sri Lanka,LKA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.90511614609032,7.38142864786508,7.99726895684675,7.80902907208001,7.00602738616061,5.38986887622596,3.25185230711378,3.86979650135106,5.29400247483456,1.24307552829752,-0.829146714268376,-5.12926234516283,3.09278196860629,-7.45121981085666,-1.65958035453171
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,2026.65939950702,2808.36779237408,3224.95736331928,3327.77612404326,3740.61589348326,3971.91913148166,4060.13139670248,4149.76105454457,4401.05567045499,4360.58473469252,4082.69404871533,3846.17449566736,3999.33764677637,3342.71989646203,3827.96495637489
Sri Lanka,LKA,Gini index,SI.POV.GINI,36.1,..,..,38.7,..,..,..,39.3,..,..,37.7,..,..,..,..
Sri Lanka,LKA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,24.4338657450541,..,..,..,..,..,34.2757988102027,36.4530444591307,39.7266305240882,38.0567747739537,34.1087160591809,32.871120461166,36.7342262242154,28.6032956311373,25.4450619909791
Sri Lanka,LKA,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,17.9414773830665,..,..,..,..,..,27.1445953733366,29.6295795192841,33.0346209257154,31.1398752485773,28.3302541992933,26.6972848580881,29.347097007314,25.0399004101983,23.8079436258969
Sri Lanka,LKA,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,..,..,..,..,..,..,24059662018.8183,27272485958.1921,30563022236.4958,30757457099.3738,27512235278.4632,25149659201.6968,26890501972.209,20355160570.8412,18575947765.5578
Sri Lanka,LKA,High-technology exports (current US$),TX.VAL.TECH.CD,46943092,62430443,71718329,60090878,72418950,71136595,63227842,67493927,79028241,..,90992885,83151264,94328328,103356170,112381343
Sri Lanka,LKA,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,17.1581061086451,14.0773344003492,14.2748745087357,17.7086685631183,15.3393725978169,13.3435493696613,12.5825293824888,12.0248893035206,11.9846446500276,11.8814446451261,14.1021039932466,32.7736384094614,48.5140224284961,35.8254823913095,16.9244189853004
Sri Lanka,LKA,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,..
Sri Lanka,LKA,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,0.112715664229588,0.143885890915562,0.0258454968702979,0.00475801953849693,0,0,0,0,0,0,0,0,0,..,..
Sri Lanka,LKA,Income share held by highest 10%,SI.DST.10TH.10,29.6,..,..,31.9,..,..,..,32.6,..,..,30.8,..,..,..,..
Sri Lanka,LKA,Income share held by lowest 10%,SI.DST.FRST.10,3.3,..,..,3,..,..,..,3,..,..,3.1,..,..,..,..
Sri Lanka,LKA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.46496322106074,6.2176488930462,6.7167684358854,7.54291373239437,6.90845034828452,3.1790022823606,3.76836783062096,3.9588884659307,7.70413767850602,2.135037737132,3.52839358231811,6.15394508391738,7.01478071238195,49.7211021114327,16.5411742279832
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.187,73.215,73.38,73.906,74.239,74.651,74.927,75.331,75.403,75.748,76.008,76.393,76.399,76.61,..
Sri Lanka,LKA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,91,..,..,..,..,..,92,92,92,92,92,92,92,..
Sri Lanka,LKA,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,..,1.01268994808197,1.02037000656128,1.04752004146576,1.04642999172211,..,..,1.03437995910645,1.0514600276947,1.04683005809784,..,..,..,..,..
Sri Lanka,LKA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,2.96033225432047,8.51846353488148,7.07850559227585,2.37688594935241,1.99041362607562,3.14854732065909,2.10624838752376,1.36776732561088,2.54369850050408,1.16136632572511,1.05845108039845,2.20124006374944,5.95129237902852,2.27179574186029,..
Sri Lanka,LKA,Time required to start a business (days),IC.REG.DURS,44,38,35,11,11,11,10,9,9,9,8,..,..,..,..
Sri Lanka,LKA,Trade (% of GDP),NE.TRD.GNFS.ZS,49.1491415308235,..,..,..,..,..,46.9179708092755,46.4715370258015,47.14040980146,49.8093967507459,49.4255258543722,37.0891205013034,41.2299754068976,46.6814414772198,42.7011040152852
Sri Lanka,LKA,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,87,88,88,86,85,84,85,85,85,85,85,83,80,79,..
Sri Lanka,LKA,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Afghanistan,AFG,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,3.20747334262674,2.97352486773898,3.1037318944545,2.83101081244359,2.7936271650952,2.71656264200805,2.57155003850241,2.46152507445241,2.33247295064515,2.20936936088929,2.07635233784877,2.13937881110499,..,..,..
Afghanistan,AFG,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
